twitter,last_name,party,DoF,trump_margin
BOBBYSCOTT,Scott,Democrat,0.8479969065549501,-31.700000000000003
REPMCEACHIN,McEachin,Democrat,-2.040971781056306,-21.6
REPBENCLINE,Cline,Republican,3.807354922057604,24.800000000000004
REPSPANBERGER,Spanberger,Democrat,1.584962500721156,6.5
REPDONBEYER,Beyer,Democrat,-4.265344566520995,-52.6
REPWEXTON,Wexton,Democrat,-1.2688167584278,-10
GERRYCONNOLLY,Connolly,Democrat,-2.365871442474959,-39.400000000000006
PETERWELCH,Welch,Democrat,0.637842060324105,-26.400000000000002
REPDELBENE,DelBene,Democrat,-2.4579896444633906,-16.300000000000004
REPRICKLARSEN,Larsen,Democrat,0.9176227017262827,-22.1
REPNEWHOUSE,Newhouse,Republican,3.321928094887362,22.799999999999997
CATHYMCMORRIS,McMorris Rodgers,Republican,4.169925001442312,13.100000000000001
REPJAYAPAL,Jayapal,Democrat,-2.0954195650786827,-69.89999999999999
REPADAMSMITH,Smith,Democrat,-2.0588936890535687,-47.2
REPDENNYHECK,Heck,Democrat,0,-11.399999999999999
REPMARKPOCAN,Pocan,Democrat,0.1401242239090707,-36.8
REPGWENMOORE,Moore,Democrat,-2.1778817252706553,-52.2
JIMPRESSOFFICE,Sensenbrenner,Republican,2.321928094887362,20.1
REPGROTHMAN,Grothman,Republican,3.4594316186372973,16.900000000000006
REPGALLAGHER,Gallagher,Republican,3,17.6
REPALEXMOONEY,Mooney,Republican,4.807354922057604,36.4
REPCAROLMILLER,Miller,Republican,4.392317422778761,49.2
REPLIZCHENEY,Cheney,Republican,0.2630344058337938,47.599999999999994
